                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4265,                  2.103,                 1.4875,                      1,                0.82698,                0.99345,                0.73584,                0.92529,                 2.3484,                 1.0165,             0.00064815,             0.00064815,             0.00064815
                      1,                 1.1972,                  1.266,                 1.2257,                0.97614,                      1,                0.99214,                0.71669,                 1.0344,                 1.5235,                  1.071,              0.0013018,              0.0013018,              0.0013018
                      2,                 1.1386,                 1.1513,                 1.2204,                0.96367,                0.96459,                0.99358,                0.71164,                 1.0882,                 1.2765,                 1.2792,              0.0019422,              0.0019422,              0.0019422
                      3,                 1.1586,                 1.0036,                 1.2247,                0.88104,                0.94265,                0.97352,                0.66177,                 1.1315,                 1.2706,                 1.2463,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.1245,                 0.8946,                 1.1948,                0.83176,                      1,                0.87007,                0.64047,                0.87629,                 1.4754,                 1.0711,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1203,                0.85068,                 1.1987,                0.70346,                 0.9058,                0.87869,                0.65583,                0.93168,                 1.6102,                  1.094,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0415,                0.75725,                 1.1537,                0.97671,                0.98182,                0.99365,                0.75903,                0.81437,                0.82602,                 1.0278,               0.001901,               0.001901,               0.001901
                      7,                 1.0272,                0.72962,                 1.1618,                0.99971,                      1,                  0.995,                0.75558,                0.86641,                0.68152,                 1.0306,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0082,                0.67529,                  1.137,                 0.9972,                      1,                  0.995,                0.80821,                0.81311,                0.60565,                 1.0074,              0.0018614,              0.0018614,              0.0018614
                      9,                0.98299,                0.64357,                 1.1196,                0.96836,                      1,                  0.995,                 0.7727,                0.84823,                0.52708,                 1.0482,              0.0018416,              0.0018416,              0.0018416
                     10,                0.96923,                0.61466,                 1.1209,                0.99821,                      1,                  0.995,                0.75096,                 0.8603,                0.52645,                 1.0539,              0.0018218,              0.0018218,              0.0018218
                     11,                0.93938,                0.59394,                 1.1026,                0.99843,                      1,                  0.995,                0.82317,                0.74052,                0.44994,                 0.9829,               0.001802,               0.001802,               0.001802
                     12,                0.95879,                0.57145,                 1.0971,                0.99778,                      1,                  0.995,                  0.839,                0.69382,                0.47487,                0.96583,              0.0017822,              0.0017822,              0.0017822
                     13,                0.90454,                 0.5566,                 1.1036,                0.99813,                      1,                  0.995,                 0.7997,                0.75899,                0.44629,                 0.9745,              0.0017624,              0.0017624,              0.0017624
                     14,                0.96269,                0.57421,                 1.1136,                 0.9988,                      1,                  0.995,                0.81823,                0.70659,                0.40462,                0.97544,              0.0017426,              0.0017426,              0.0017426
                     15,                 0.8992,                0.53347,                  1.083,                0.99886,                      1,                  0.995,                0.82213,                0.71277,                0.37754,                0.95862,              0.0017228,              0.0017228,              0.0017228
                     16,                0.89848,                0.52508,                  1.067,                0.99886,                      1,                  0.995,                0.79647,                0.75455,                0.38335,                0.99163,               0.001703,               0.001703,               0.001703
